pygeostat_saved_data
3
x
y
code
19 0 255
19 4 200
19 8 200
19 12 200
19 16 200
19 20 200
19 24 200
19 28 200
19 32 200
19 36 200
19 40 200
19 44 200
19 48 255
19 52 255
19 56 255
19 60 255
19 64 255
19 68 255
19 72 100
19 76 100
19 80 100
19 84 255
19 88 255
19 92 255
63 0 255
63 4 255
63 8 100
63 12 100
63 16 100
63 20 255
63 24 255
63 28 255
63 32 255
63 36 255
63 40 255
63 44 255
63 48 255
63 52 255
63 56 255
63 60 255
63 64 255
63 68 255
63 72 255
63 76 200
63 80 200
63 84 200
63 88 200
63 92 200
87 0 255
87 4 255
87 8 255
87 12 100
87 16 100
87 20 255
87 24 255
87 28 255
87 32 255
87 36 255
87 40 255
87 44 255
87 48 255
87 52 100
87 56 100
87 60 255
87 64 255
87 68 255
87 72 255
87 76 255
87 80 255
87 84 255
87 88 255
87 92 255
42 0 255
42 4 255
42 8 255
42 12 100
42 16 100
42 20 100
42 24 255
42 28 200
42 32 200
42 36 200
42 40 200
42 44 200
42 48 200
42 52 200
42 56 200
42 60 200
42 64 200
42 68 200
42 72 200
42 76 255
42 80 255
42 84 255
42 88 255
42 92 255
132 0 255
132 4 255
132 8 255
132 12 255
132 16 255
132 20 255
132 24 100
132 28 100
132 32 100
132 36 100
132 40 255
132 44 255
132 48 255
132 52 255
132 56 255
132 60 255
132 64 255
132 68 255
132 72 100
132 76 100
132 80 255
132 84 255
132 88 255
132 92 255
84 0 255
84 4 255
84 8 100
84 12 100
84 16 100
84 20 255
84 24 255
84 28 255
84 32 255
84 36 255
84 40 255
84 44 255
84 48 255
84 52 100
84 56 100
84 60 255
84 64 255
84 68 255
84 72 255
84 76 255
84 80 255
84 84 255
84 88 255
84 92 255
79 0 255
79 4 255
79 8 100
79 12 100
79 16 100
79 20 255
79 24 255
79 28 255
79 32 255
79 36 255
79 40 255
79 44 255
79 48 255
79 52 100
79 56 100
79 60 255
79 64 255
79 68 255
79 72 255
79 76 255
79 80 255
79 84 255
79 88 255
79 92 200
58 0 255
58 4 255
58 8 100
58 12 100
58 16 100
58 20 255
58 24 255
58 28 255
58 32 255
58 36 255
58 40 255
58 44 255
58 48 255
58 52 255
58 56 255
58 60 255
58 64 255
58 68 200
58 72 200
58 76 200
58 80 200
58 84 200
58 88 200
58 92 200
49 0 255
49 4 255
49 8 100
49 12 100
49 16 100
49 20 100
49 24 255
49 28 255
49 32 255
49 36 255
49 40 255
49 44 200
49 48 200
49 52 200
49 56 200
49 60 200
49 64 200
49 68 200
49 72 200
49 76 200
49 80 200
49 84 255
49 88 255
49 92 255
75 0 255
75 4 255
75 8 100
75 12 100
75 16 100
75 20 255
75 24 255
75 28 255
75 32 255
75 36 255
75 40 255
75 44 255
75 48 255
75 52 100
75 56 100
75 60 255
75 64 255
75 68 255
75 72 255
75 76 255
75 80 255
75 84 255
75 88 200
75 92 200
108 0 255
108 4 255
108 8 255
108 12 255
108 16 255
108 20 255
108 24 100
108 28 100
108 32 100
108 36 255
108 40 255
108 44 255
108 48 255
108 52 255
108 56 255
108 60 255
108 64 255
108 68 255
108 72 255
108 76 100
108 80 255
108 84 255
108 88 255
108 92 255
58 0 255
58 4 255
58 8 100
58 12 100
58 16 100
58 20 255
58 24 255
58 28 255
58 32 255
58 36 255
58 40 255
58 44 255
58 48 255
58 52 255
58 56 255
58 60 255
58 64 255
58 68 200
58 72 200
58 76 200
58 80 200
58 84 200
58 88 200
58 92 200
